Batsman,Total Runs Scored,Home Run Hitting Ability,Home Runs,Non Home Runs,Number of Milestones Reached,Average Balls Faced,Team
JA Morkel,659,80.0,362,297,2.0,20.0606060606,South Africa
HH Gibbs,1856,240.0,1028,828,16.0,42.7884615385,South Africa
T Thushara,347,37.0,162,185,1.0,17.5714285714,Sri Lanka
V Sehwag,3417,518.0,2200,1217,21.0,35.7386363636,India
KA Edwards,331,30.0,134,197,1.0,31.875,West Indies
SC Williams,1855,167.0,708,1147,18.0,35.3230769231,Zimbabwe
DE Bernard,134,10.0,40,94,0,21.1,West Indies
WK McCallan,101,9.0,36,65,0,13.5384615385,Ireland
LE Plunkett,278,29.0,136,142,0,11.5714285714,England
RK Whelan,5,1.0,4,1,0,6.0,Ireland
MJ Guptill,4384,553.0,2416,1968,36.0,46.0695652174,New Zealand
GB Hogg,178,10.0,42,136,0,19.6923076923,Australia
CT Tremlett,42,4.0,20,22,0,7.3,England
JW Hastings,180,23.0,100,80,0,14.5384615385,Australia
PA Hitchcock,11,1.0,6,5,0,11.0,New Zealand
CK Kapugedera,1226,101.0,450,776,7.0,30.8103448276,Sri Lanka
N Deonarine,461,46.0,194,267,3.0,31.8636363636,West Indies
CR Brathwaite,71,8.0,38,33,0,12.4285714286,West Indies
MC Sorensen,64,8.0,38,26,0,18.75,Ireland
ML Udawatte,103,14.0,58,45,0,27.6666666667,Sri Lanka
NW Bracken,113,9.0,38,75,0,7.86956521739,Australia
Rajin Saleh,43,7.0,28,15,0,40.5,Bangladesh
SR Patel,482,49.0,220,262,1.0,24.1818181818,England
M Kartik,37,5.0,22,15,0,16.3333333333,India
Rubel Hossain,68,8.0,34,34,0,5.12,Bangladesh
Ziaur Rahman,83,12.0,54,29,0,9.1,Bangladesh
CK Coventry,529,60.0,282,247,3.0,32.5555555556,Zimbabwe
TA Boult,58,8.0,38,20,0,6.81818181818,New Zealand
D Mongia,157,15.0,60,97,1.0,43.5,India
D Ganga,41,2.0,8,33,0,52.5,West Indies
MJ Santner,294,33.0,152,142,0,26.1818181818,New Zealand
CT Mutombodzi,32,2.0,8,24,0,14.6666666667,Zimbabwe
CR Ervine,916,92.0,394,522,6.0,41.2666666667,Zimbabwe
XM Marshall,85,12.0,48,37,0,18.0,West Indies
IR Bell,4741,487.0,2002,2739,33.0,46.7611940299,England
RV Uthappa,753,102.0,440,313,4.0,24.8823529412,India
J Nyumbu,45,2.0,10,35,0,6.92307692308,Zimbabwe
KW Richardson,30,4.0,20,10,0,4.75,Australia
Umar Gul,407,44.0,200,207,0,10.4561403509,Pakistan
HDRL Thirimanne,2558,225.0,942,1616,20.0,44.1851851852,Sri Lanka
D Elgar,98,5.0,20,78,0,32.4,South Africa
Abdur Rehman,127,11.0,46,81,0,10.8571428571,Pakistan
H Masakadza,2886,333.0,1422,1464,20.0,38.5046728972,Zimbabwe
KO Meth,33,4.0,16,17,0,10.4,Zimbabwe
B Lee,477,48.0,218,259,1.0,13.2727272727,Australia
JR Hazlewood,5,1.0,4,1,0,4.5,Australia
R Mutumbami,232,29.0,122,110,1.0,22.1333333333,Zimbabwe
PP Ojha,46,3.0,12,34,0,12.6666666667,India
TWM Latham,862,94.0,398,464,5.0,33.7058823529,New Zealand
JH Kallis,3242,312.0,1308,1934,31.0,48.7471264368,South Africa
MM Patel,71,8.0,34,37,0,4.81818181818,India
DE Bollinger,50,5.0,20,30,0,7.71428571429,Australia
LRPL Taylor,4994,501.0,2204,2790,41.0,46.25,New Zealand
CH Gayle,3611,532.0,2414,1197,24.0,34.8103448276,West Indies
PC de Silva,63,7.0,28,35,0,16.8,Sri Lanka
NM Hauritz,291,26.0,116,175,1.0,12.44,Australia
MDKJ Perera,1184,152.0,674,510,9.0,28.4347826087,Sri Lanka
SP Narine,291,36.0,164,127,0,11.2058823529,West Indies
SJ Benn,135,16.0,68,67,0,9.25,West Indies
IJL Trott,2715,210.0,846,1869,25.0,58.1935483871,England
BAW Mendis,170,17.0,72,98,0,6.73684210526,Sri Lanka
PD McGlashan,63,7.0,30,33,1.0,26.5,New Zealand
IK Pathan,674,75.0,330,344,1.0,21.525,India
CJ Anderson,998,129.0,622,376,5.0,26.8787878788,New Zealand
Khaled Mashud,41,1.0,4,37,0,31.6666666667,Bangladesh
Hammad Azam,75,7.0,32,43,0,23.8,Pakistan
L Balaji,7,1.0,4,3,0,10.0,India
PG Fulton,877,88.0,376,501,6.0,40.625,New Zealand
ST Finn,130,14.0,62,68,0,9.08333333333,England
SL Malinga,403,50.0,234,169,1.0,6.66666666667,Sri Lanka
PC Connell,6,1.0,4,2,0,23.0,Ireland
LM Jongwe,121,12.0,52,69,0,16.7272727273,Zimbabwe
RR Emrit,13,1.0,4,9,0,17.5,West Indies
KOA Powell,715,97.0,406,309,6.0,32.8518518519,West Indies
Abdur Razzak,613,62.0,280,333,1.0,11.3698630137,Bangladesh
Mahmudullah,2394,222.0,934,1460,15.0,34.4285714286,Bangladesh
ND McKenzie,108,9.0,36,72,1.0,42.0,South Africa
JR Hopes,1153,113.0,464,689,3.0,23.2592592593,Australia
T Maruma,66,6.0,28,38,0,14.3333333333,Zimbabwe
HF Gurney,15,1.0,4,11,0,5.5,England
E Chigumbura,2598,261.0,1160,1438,13.0,29.298245614,Zimbabwe
KP Pietersen,3115,344.0,1462,1653,22.0,40.7419354839,England
VD Philander,141,13.0,52,89,0,13.25,South Africa
CJ Ferguson,606,57.0,228,378,4.0,32.7391304348,Australia
DL Vettori,1119,102.0,424,695,2.0,18.323943662,New Zealand
Shahzaib Hasan,100,15.0,64,36,1.0,39.3333333333,Pakistan
GW Flower,35,2.0,8,27,0,23.0,Zimbabwe
Syed Rasel,52,4.0,16,36,0,7.66666666667,Bangladesh
Ahmed Shehzad,2329,257.0,1060,1269,17.0,46.9857142857,Pakistan
MT Chinouya,6,1.0,4,2,0,4.5,Zimbabwe
JDS Neesham,238,28.0,118,120,0,15.875,New Zealand
CAK Walton,17,1.0,4,13,0,7.5,West Indies
RA Jadeja,1849,181.0,794,1055,10.0,26.3882352941,India
LD Chandimal,2368,201.0,862,1506,17.0,34.847826087,Sri Lanka
BMAJ Mendis,561,53.0,232,329,1.0,18.2972972973,Sri Lanka
SMA Priyanjan,420,50.0,206,214,2.0,26.65,Sri Lanka
JP Duminy,3686,286.0,1234,2452,23.0,37.3495934959,South Africa
LJ Woodcock,14,1.0,4,10,0,11.0,New Zealand
NO Miller,248,24.0,104,144,1.0,13.0416666667,West Indies
Jahurul Islam,226,24.0,100,126,1.0,29.5454545455,Bangladesh
DJ Hussey,1665,145.0,628,1037,14.0,33.2456140351,Australia
MG Johnson,876,96.0,426,450,2.0,11.4567901235,Australia
Zulqarnain Haider,48,3.0,12,36,0,17.5,Pakistan
SM Pollock,491,46.0,200,291,2.0,20.5517241379,South Africa
PD Collingwood,2841,244.0,1070,1771,18.0,39.7311827957,England
CH Morris,96,11.0,52,44,1.0,15.8333333333,South Africa
Asad Shafiq,1264,106.0,434,830,9.0,36.9215686275,Pakistan
Bazid Khan,53,3.0,14,39,1.0,51.0,Pakistan
PJ Forrest,368,38.0,160,208,4.0,41.2142857143,Australia
AJ Hall,144,14.0,58,86,1.0,16.4,South Africa
Sikandar Raza,997,114.0,494,503,5.0,32.2631578947,Zimbabwe
RJ Sidebottom,124,11.0,44,80,0,11.6875,England
AC Gilchrist,1257,172.0,740,517,11.0,32.7,Australia
M Morkel,185,21.0,94,91,0,7.31428571429,South Africa
ST Jayasuriya,2413,349.0,1520,893,15.0,34.5070422535,Sri Lanka
CJ Chibhabha,1577,172.0,712,865,10.0,36.3582089552,Zimbabwe
Tamim Iqbal,4166,531.0,2236,1930,36.0,41.4045801527,Bangladesh
MJ Lumb,165,15.0,66,99,1.0,68.6666666667,England
JM How,778,87.0,360,418,5.0,46.0769230769,New Zealand
N Madziva,49,5.0,20,29,0,13.8571428571,Zimbabwe
D Wiese,102,12.0,58,44,0,19.6666666667,South Africa
Aizaz Cheema,26,2.0,8,18,0,7.5,Pakistan
DR Martyn,312,40.0,162,150,3.0,68.4285714286,Australia
Sohaib Maqsood,677,66.0,292,385,5.0,36.9130434783,Pakistan
ADS Fletcher,216,29.0,124,92,2.0,21.5625,West Indies
G Chapple,14,2.0,10,4,0,7.0,England
LE Bosman,299,46.0,202,97,2.0,27.8181818182,South Africa
JWA Taylor,862,81.0,348,514,8.0,44.9583333333,England
HMCM Bandara,86,7.0,34,52,0,15.2857142857,Sri Lanka
LMP Simmons,1958,212.0,948,1010,18.0,42.828125,West Indies
DM Richards,179,24.0,102,77,2.0,37.1428571429,West Indies
Soumya Sarkar,662,103.0,440,222,5.0,47.7142857143,Bangladesh
RE van der Merwe,39,5.0,24,15,0,5.85714285714,South Africa
EC Joyce,992,108.0,450,542,7.0,41.2857142857,England
Mushfiqur Rahim,3500,329.0,1410,2090,23.0,36.9126984127,Bangladesh
Mohammad Ashraful,1537,172.0,706,831,9.0,30.4430379747,Bangladesh
Sohag Gazi,182,22.0,96,86,0,13.8,Bangladesh
AR Cusack,181,18.0,76,105,0,18.5333333333,Ireland
Farhad Reza,226,22.0,98,128,0,18.9090909091,Bangladesh
TD Paine,636,78.0,320,316,5.0,42.0434782609,Australia
PJ Moor,15,1.0,4,11,0,18.0,Zimbabwe
KA Pollard,1912,211.0,1022,890,9.0,27.8205128205,West Indies
SM Davies,244,36.0,144,100,1.0,29.875,England
SR Watson,4876,608.0,2662,2214,37.0,41.9457364341,Australia
NLTC Perera,1074,124.0,578,496,5.0,13.5866666667,Sri Lanka
Gurkeerat Singh,13,2.0,8,5,0,6.5,India
R McLaren,479,48.0,204,275,1.0,17.15,South Africa
KJ Abbott,70,6.0,24,46,0,11.3,South Africa
VR Aaron,8,1.0,4,4,0,5.0,India
JC Buttler,1765,205.0,930,835,11.0,25.9322033898,England
KM Dabengwa,335,24.0,108,227,0,27.3,Zimbabwe
GC Smith,3357,397.0,1640,1717,29.0,42.13,South Africa
A Symonds,1379,148.0,650,729,13.0,35.0,Australia
AJ Redmond,152,19.0,76,76,1.0,44.3333333333,New Zealand
Inzamam-ul-Haq,324,38.0,164,160,0,37.9166666667,Pakistan
MEK Hussey,4057,328.0,1426,2631,31.0,41.3193277311,Australia
MM Ali,728,91.0,408,320,4.0,22.6176470588,England
AM Phangiso,66,5.0,20,46,0,11.7777777778,South Africa
JDP Oram,1202,130.0,610,592,9.0,26.125,New Zealand
MJ McClenaghan,108,13.0,58,50,0,10.2142857143,New Zealand
SS Tiwary,49,6.0,26,23,0,28.5,India
NM Coulter-Nile,60,4.0,18,42,0,12.2857142857,Australia
Khurram Manzoor,206,20.0,80,126,3.0,53.8333333333,Pakistan
DJ Bravo,2478,252.0,1112,1366,12.0,28.6261682243,West Indies
Shamsur Rahman,266,32.0,146,120,2.0,39.6666666667,Bangladesh
BJ Hodge,344,36.0,154,190,2.0,31.5384615385,Australia
DJ Willey,58,4.0,20,38,0,9.57142857143,England
HM Amla,5806,619.0,2548,3258,48.0,56.1260504202,South Africa
AR McBrine,46,4.0,18,28,0,12.25,Ireland
B Kumar,207,21.0,88,119,0,10.25,India
GJ Bailey,2290,211.0,932,1358,19.0,42.9365079365,Australia
PJ Ingram,193,30.0,120,73,1.0,34.1428571429,New Zealand
JP Bray,234,27.0,112,122,1.0,37.1,Ireland
R Dravid,1284,122.0,506,778,11.0,41.0697674419,India
RP Singh,84,5.0,22,62,0,14.0666666667,India
B Geeves,10,1.0,4,6,0,11.0,Australia
SHT Kandamby,815,67.0,268,547,5.0,39.0666666667,Sri Lanka
SB Styris,1793,170.0,716,1077,14.0,42.9811320755,New Zealand
PJK Mooney,11,1.0,4,7,0,4.0,Ireland
Raqibul Hasan,1094,87.0,364,730,6.0,39.2978723404,Bangladesh
Fawad Alam,903,63.0,264,639,6.0,36.5588235294,Pakistan
Mohammad Salman,22,2.0,8,14,0,13.3333333333,Pakistan
JM Kemp,471,46.0,216,255,3.0,35.4,South Africa
WTS Porterfield,864,91.0,380,484,5.0,43.8571428571,Ireland
Yuvraj Singh,3903,487.0,2128,1775,31.0,38.8083333333,India
SW Billings,90,12.0,50,40,0,17.5,England
Tushar Imran,27,4.0,16,11,0,21.0,Bangladesh
DS Smith,801,89.0,372,429,5.0,33.0882352941,West Indies
SW Masakadza,109,16.0,76,33,0,14.0,Zimbabwe
J Louw,23,4.0,22,1,0,7.0,South Africa
MS Dhoni,6915,654.0,2872,4043,55.0,43.6914893617,India
AC Voges,712,55.0,234,478,3.0,35.2083333333,Australia
AJ Strauss,2509,291.0,1206,1303,20.0,42.4864864865,England
GO Jones,94,9.0,40,54,0,14.0,England
A Shahzad,40,3.0,18,22,0,7.75,England
S Prasanna,190,25.0,120,70,0,12.05,Sri Lanka
SCJ Broad,500,45.0,200,300,0,10.8709677419,England
Danish Kaneria,6,1.0,4,2,0,4.0,Pakistan
Saad Nasim,99,10.0,42,57,1.0,41.6666666667,Pakistan
NJ O'Brien,871,87.0,366,505,6.0,36.8823529412,Ireland
HMRKB Herath,140,12.0,52,88,0,8.40740740741,Sri Lanka
A Balbirnie,259,27.0,116,143,2.0,35.4444444444,Ireland
BA Parchment,107,14.0,58,49,0,33.0,West Indies
Mohammad Yousuf,2134,190.0,782,1352,16.0,49.775862069,Pakistan
Z Khan,326,38.0,168,158,0,13.7179487179,India
SE Bond,140,10.0,44,96,0,9.75,New Zealand
Shahadat Hossain,57,6.0,26,31,0,7.0625,Bangladesh
SR Thompson,73,7.0,32,41,0,13.5,Ireland
ML Nkala,14,2.0,8,6,0,13.0,Zimbabwe
Sharjeel Khan,169,26.0,114,55,1.0,20.8,Pakistan
AD Russell,978,142.0,672,306,4.0,17.9761904762,West Indies
DT Tiripano,23,3.0,12,11,0,10.25,Zimbabwe
Babar Azam,321,35.0,152,169,4.0,45.125,Pakistan
SW Tait,25,4.0,18,7,0,4.83333333333,Australia
R Ashwin,658,64.0,266,392,1.0,14.0909090909,India
DT Christian,273,26.0,110,163,0,17.3888888889,Australia
PR Stirling,557,80.0,338,219,4.0,27.4782608696,Ireland
CL White,1960,181.0,810,1150,13.0,35.9705882353,Australia
KM Jadhav,146,18.0,74,72,1.0,35.0,India
YK Pathan,799,103.0,496,303,5.0,18.15,India
Imran Nazir,435,70.0,304,131,2.0,30.2,Pakistan
Imran Farhat,813,91.0,376,437,8.0,42.9333333333,Pakistan
CMW Read,61,6.0,26,35,0,12.5,England
AM Rahane,1966,217.0,916,1050,16.0,41.3114754098,India
F Mutizwa,145,9.0,38,107,1.0,28.1111111111,Zimbabwe
AU Rashid,294,41.0,170,124,1.0,15.8823529412,England
Khalid Latif,147,13.0,52,95,1.0,46.6,Pakistan
Mashrafe Mortaza,771,88.0,400,371,0,14.5072463768,Bangladesh
CD McMillan,476,61.0,272,204,3.0,35.4375,New Zealand
MJ Henry,86,12.0,58,28,0,9.22222222222,New Zealand
GB Brent,168,12.0,54,114,1.0,17.0625,Zimbabwe
MA Wood,26,3.0,12,14,0,9.66666666667,England
M Vijay,339,36.0,150,189,1.0,32.25,India
DP Hyatt,112,14.0,68,44,0,21.0,West Indies
PM Siddle,21,1.0,4,17,0,4.5,Australia
MD Gunathilaka,117,18.0,80,37,1.0,28.0,Sri Lanka
Sohail Tanvir,340,44.0,188,152,0,11.1351351351,Pakistan
JL Denly,268,32.0,130,138,2.0,46.4444444444,England
AP Devcich,177,25.0,100,77,1.0,30.125,New Zealand
DI Joyce,29,4.0,16,13,0,20.3333333333,Ireland
V Sibanda,1552,196.0,822,730,12.0,37.0,Zimbabwe
Aftab Ahmed,652,83.0,356,296,3.0,25.9411764706,Bangladesh
SG Borthwick,18,2.0,10,8,0,8.0,England
C Kieswetter,979,127.0,568,411,5.0,30.027027027,England
Abdul Razzaq,820,89.0,412,408,3.0,24.95,Pakistan
Nazimuddin,145,20.0,84,61,0,23.3,Bangladesh
DR Tuffey,149,16.0,76,73,0,10.9166666667,New Zealand
Mohammad Irfan,48,7.0,32,16,0,5.06666666667,Pakistan
Alok Kapali,270,31.0,136,134,1.0,27.2307692308,Bangladesh
DM Bravo,2143,225.0,980,1163,17.0,42.28,West Indies
MS Sinclair,122,12.0,50,72,1.0,26.6,New Zealand
Mohammad Hafeez,4569,538.0,2300,2269,34.0,44.007518797,Pakistan
HD Rutherford,15,2.0,8,7,0,14.0,New Zealand
JL Pattinson,41,2.0,8,33,0,11.4285714286,Australia
Mohammad Rizwan,348,36.0,154,194,3.0,28.8461538462,Pakistan
GH Bodi,83,10.0,42,41,1.0,68.0,South Africa
S Matsikenyeri,939,94.0,394,545,5.0,26.3617021277,Zimbabwe
PP Chawla,38,3.0,12,26,0,5.0,India
CS Baugh,308,23.0,94,214,0,22.9545454545,West Indies
RP Arnold,231,16.0,66,165,2.0,22.4285714286,Sri Lanka
S Dhawan,2982,390.0,1634,1348,25.0,48.6086956522,India
RMS Eranga,34,4.0,16,18,0,7.33333333333,Sri Lanka
JM Bairstow,260,30.0,130,130,1.0,28.4,England
Mithun Ali,26,5.0,20,6,0,43.0,Bangladesh
TS Nethula,12,1.0,4,8,0,3.66666666667,New Zealand
PVD Chameera,24,2.0,8,16,0,11.75,Sri Lanka
RR Powar,52,3.0,14,38,0,11.2222222222,India
TG Southee,359,39.0,188,171,0,7.58823529412,New Zealand
SE Marsh,1706,176.0,730,976,14.0,47.5208333333,Australia
BRM Taylor,3356,330.0,1410,1946,26.0,43.96,Zimbabwe
CA Ingram,761,84.0,354,407,5.0,33.3928571429,South Africa
SC Ganguly,920,114.0,488,432,9.0,53.88,India
TM Dowlin,228,21.0,86,142,2.0,36.2,West Indies
MV Boucher,1268,126.0,568,700,5.0,24.8771929825,South Africa
Kamran Hussain,28,2.0,8,20,0,21.0,Pakistan
GC Tonge,10,1.0,4,6,0,5.33333333333,West Indies
AD Mathews,3757,346.0,1496,2261,26.0,34.8320610687,Sri Lanka
T Duffin,143,16.0,64,79,1.0,57.5,Zimbabwe
NT Broom,309,27.0,110,199,1.0,24.7368421053,New Zealand
Junaid Khan,55,4.0,18,37,0,5.94736842105,Pakistan
JA Burns,146,17.0,70,76,1.0,31.5,Australia
MDK Perera,44,4.0,16,28,0,20.25,Sri Lanka
C de Grandhomme,36,4.0,22,14,0,39.0,New Zealand
Mominul Haque,490,54.0,218,272,2.0,31.7619047619,Bangladesh
